,0x0,0xffffffff,0x7fffffff
FBruteForceLighting,0xbef4de6e,0x410b2191,0x410b2191
begin,0x7a859515,0x857a6aea,0x57a6aea
FBruteForceLightingNullLightTexture,0xcecb28e5,0x3134d71a,0x3134d71a
FLighting = FLighting, FLighting = FLightingVS, FLighting = FBruteForceLighting, FLighting = FBruteForceApproximateLighting,0x7d42816c,0x82bd7e93,0x2bd7e93
calcScreenZtoViewDepth,0xd406e59e,0x2bf91a61,0x2bf91a61
pos_z,0x87f1ff37,0x780e00c8,0x780e00c8
calcScreenUVtoViewDepth,0xe2d3725e,0x1d2c8da1,0x1d2c8da1
calcFog,0xd46fe5b9,0x2b901a46,0x2b901a46
sv_pos,0xa610ebe9,0x59ef1416,0x59ef1416
FPrimitiveCalcTexCoord,0xd843c67a,0x27bc3985,0x27bc3985
itc,0x27afa5ad,0xd8505a52,0x58505a52
FPrimitiveCalcTexCoordNormalize,0x1e69b7b5,0xe196484a,0x6196484a
FPrimitiveCalcTexCoordTexel,0xda5c2764,0x25a3d89b,0x25a3d89b
calcZOffset,0x106623cf,0xef99dc30,0x6f99dc30
pers,0xd0624db9,0x2f9db246,0x2f9db246
zofs,0x9ce6ff5e,0x631900a1,0x631900a1
z_dir,0xa3c4b385,0x5c3b4c7a,0x5c3b4c7a
FPrimitiveCalcPos,0x77c50e67,0x883af198,0x83af198
FPrimitiveCalcPosParticle,0x2f949c90,0xd06b636f,0x506b636f
posr,0xb3e9c9b8,0x4c163647,0x4c163647
rotz,0x587a1fc6,0xa785e039,0x2785e039
sin_rz,0xb996a11b,0x46695ee4,0x46695ee4
